Match_id,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,BattingTeam_1
317578,V Sibanda,BRM Taylor,CJ Chibhabha,T Taibu,H Masakadza,E Chigumbura,S Matsikenyeri,P Utseya,KM Dabengwa,GB Brent,RW Price,Zimbabwe
317579,CH Gayle,DS Smith,RS Morton,S Chanderpaul,MN Samuels,DJ Bravo,D Ramdin,RN Lewis,R Rampaul,JE Taylor,DBL Powell,West Indies
317581,V Sibanda,H Masakadza,E Chigumbura,T Taibu,BRM Taylor,S Matsikenyeri,KM Dabengwa,CJ Chibhabha,P Utseya,GB Brent,RW Price,Zimbabwe
319134,WU Tharanga,ML Udawatte,KC Sangakkara,DPMD Jayawardene,LPC Silva,TM Dilshan,CK Kapugedera,WPUJC Vaas,KMDN Kulasekara,MKDI Amerasinghe,BAW Mendis,Sri Lanka
319135,WU Tharanga,ML Udawatte,KC Sangakkara,K Weeraratne,DPMD Jayawardene,LPC Silva,WPUJC Vaas,KMDN Kulasekara,BAW Mendis,CK Kapugedera,TM Dilshan,Sri Lanka
319136,KC Sangakkara,ML Udawatte,DPMD Jayawardene,LPC Silva,CK Kapugedera,TM Dilshan,K Weeraratne,WPUJC Vaas,T Thushara,KMDN Kulasekara,NaN,Sri Lanka
319143,SE Marsh,SR Watson,RT Ponting,MJ Clarke,MEK Hussey,BJ Haddin,CL White,JR Hopes,B Lee,MG Johnson,NW Bracken,Australia
319144,SE Marsh,SR Watson,RT Ponting,MJ Clarke,MEK Hussey,CL White,JR Hopes,B Lee,NW Bracken,MG Johnson,NaN,Australia
319145,CH Gayle,XM Marshall,RR Sarwan,S Chanderpaul,DJ Bravo,ADS Fletcher,D Ramdin,DJG Sammy,DBL Powell,FH Edwards,SJ Benn,West Indies
319146,SE Marsh,SR Watson,MEK Hussey,MJ Clarke,A Symonds,DJ Hussey,JR Hopes,L Ronchi,B Lee,MG Johnson,NW Bracken,Australia
319147,SE Marsh,SR Watson,L Ronchi,MJ Clarke,MEK Hussey,A Symonds,DJ Hussey,JR Hopes,B Lee,MG Johnson,NW Bracken,Australia
323949,Tamim Iqbal,Junaid Siddique,Shahriar Nafees,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Mosharraf Hossain,Abdur Razzak,Shahadat Hossain,Syed Rasel,Bangladesh
323950,Tamim Iqbal,Mohammad Ashraful,Shahriar Nafees,Nazimuddin,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Abdur Razzak,Mashrafe Mortaza,Mosharraf Hossain,Syed Rasel,Bangladesh
323951,Tamim Iqbal,Shahriar Nafees,Nazimuddin,Mohammad Ashraful,Shakib Al Hasan,Raqibul Hasan,Dhiman Ghosh,Farhad Reza,Abdur Razzak,Mashrafe Mortaza,Mosharraf Hossain,Bangladesh
325569,CR Foggo,JJ Celestine,OO Bascome,SD Outerbridge,IH Romaine,RJ Trott,J Edness,RD Steede,GH O'Brien,RDM Leverock,TE Tucker,Bermuda
325572,DO Obuya,KO Otieno,AA Obanda,SO Tikolo,MA Ouma,TM Odoyo,JK Kamande,AO Suji,PJ Ongondo,HA Varaiya,NaN,Kenya
325579,DJ Reekers,DLS van Bunge,TN de Grooth,RN ten Doeschate,ES Szwarczynski,PW Borren,HJC Mol,J Smits,Mudassar Bukhari,E Schiferli,PM Seelaar,Netherlands
325580,GM Hamilton,RR Watson,MQ Sheikh,CJO Smith,DF Watts,NFI McCallum,RD Berrington,RM Haq,JAR Blain,GD Drummond,JD Nel,Scotland
325581,H Masakadza,C Zhuwao,CJ Chibhabha,T Taibu,S Matsikenyeri,E Chigumbura,KM Dabengwa,T Maruma,P Utseya,CB Mpofu,RW Price,Zimbabwe
325800,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahNaNulNaNHaq,Shahid Afridi,Sohail Tanvir,Samiullah Khan,Iftikhar Anjum,NaN,Pakistan
325801,V Sibanda,H Masakadza,CJ Chibhabha,T Taibu,BRM Taylor,E Chigumbura,SC Williams,S Matsikenyeri,P Utseya,GB Brent,RW Price,Zimbabwe
325802,Salman Butt,Nasir Jamshed,Younis Khan,Mohammad Yousuf,Shoaib Malik,MisbahNaNulNaNHaq,Shahid Afridi,Kamran Akmal,Kamran Hussain,Sohail Tanvir,Yasir Arafat,Pakistan
325803,V Sibanda,H Masakadza,SC Williams,T Taibu,BRM Taylor,CJ Chibhabha,E Chigumbura,KM Dabengwa,GB Brent,RW Price,CB Mpofu,Zimbabwe
325804,V Sibanda,H Masakadza,SC Williams,T Taibu,BRM Taylor,CJ Chibhabha,E Chigumbura,KM Dabengwa,GB Brent,RW Price,CB Mpofu,Zimbabwe
